,acquisitionYear,year,acquisition
956,1856,1794,accepted
957,1856,1793,accepted
958,1856,1792,accepted
959,1856,1794,accepted
960,1856,1794,accepted
961,1856,1794,accepted
962,1856,1794,accepted
963,1856,1793,accepted
964,1856,1794,accepted
965,1856,1793,accepted
966,1856,1794,accepted
967,1856,1794,accepted
968,1856,1792,accepted
969,1856,1794,accepted
970,1856,1793,accepted
971,1856,1794,accepted
972,1856,1794,accepted
973,1856,1793,accepted
974,1856,1793,accepted
975,1856,1793,accepted
976,1856,1793,accepted
977,1856,1792,accepted
978,1856,1792,accepted
979,1856,1792,accepted
980,1856,1792,accepted
981,1856,1792,accepted
982,1856,1792,accepted
983,1856,1796,accepted
984,1856,1792,accepted
985,1856,1792,accepted
986,1856,1792,accepted
987,1856,1793,accepted
988,1856,1792,accepted
989,1856,1793,accepted
990,1856,1794,accepted
991,1856,1794,accepted
992,1856,1798,accepted
993,1856,1794,accepted
994,1856,1793,accepted
995,1856,1795,accepted
996,1856,1795,accepted
997,1856,1795,accepted
998,1856,1795,accepted
999,1856,1795,accepted
1000,1856,1795,accepted
1001,1856,1795,accepted
1002,1856,1795,accepted
1003,1856,1795,accepted
1004,1856,1795,accepted
1005,1856,1795,accepted
1006,1856,1795,accepted
1007,1856,1795,accepted
1008,1856,1795,accepted
1009,1856,1795,accepted
1010,1856,1795,accepted
1011,1856,1795,accepted
1012,1856,1795,accepted
1013,1856,1795,accepted
1014,1856,1795,accepted
1015,1856,1795,accepted
1016,1856,1795,accepted
1017,1856,1795,accepted
1018,1856,1795,accepted
1019,1856,1795,accepted
1020,1856,1795,accepted
1021,1856,1795,accepted
1022,1856,1795,accepted
1023,1856,1795,accepted
1024,1856,1795,accepted
1025,1856,1795,accepted
1026,1856,1795,accepted
1027,1856,1795,accepted
1028,1856,1795,accepted
1029,1856,1795,accepted
1030,1856,1795,accepted
1031,1856,1795,accepted
1032,1856,1795,accepted
1033,1856,1795,accepted
1034,1856,1795,accepted
1035,1856,1795,accepted
1036,1856,1795,accepted
1037,1856,1795,accepted
1038,1856,1795,accepted
1039,1856,1795,accepted
1040,1856,1795,accepted
1041,1856,1795,accepted
1042,1856,1795,accepted
1043,1856,1795,accepted
1044,1856,1800,accepted
1045,1856,1795,accepted
1046,1856,1795,accepted
1047,1856,1798,accepted
1048,1856,1798,accepted
1049,1856,1798,accepted
1050,1856,1795,accepted
1051,1856,1795,accepted
1052,1856,1795,accepted
1053,1856,1795,accepted
1054,1856,1795,accepted
1055,1856,1795,accepted
1056,1856,1795,accepted
1057,1856,1795,accepted
1058,1856,1795,accepted
1059,1856,1795,accepted
1060,1856,1795,accepted
1061,1856,1795,accepted
1062,1856,1795,accepted
1063,1856,1795,accepted
1064,1856,1795,accepted
1065,1856,1795,accepted
1066,1856,1795,accepted
1067,1856,1795,accepted
1068,1856,1795,accepted
1069,1856,1795,accepted
1070,1856,1795,accepted
1071,1856,1795,accepted
1072,1856,1795,accepted
1073,1856,1795,accepted
1074,1856,1795,accepted
1075,1856,1795,accepted
1076,1856,1795,accepted
1077,1856,1795,accepted
1078,1856,1795,accepted
1079,1856,1795,accepted
1080,1856,1795,accepted
1081,1856,1795,accepted
1082,1856,1795,accepted
1083,1856,1795,accepted
1084,1856,1795,accepted
1085,1856,1795,accepted
1086,1856,1795,accepted
1087,1856,1795,accepted
1088,1856,1795,accepted
1089,1856,1795,accepted
1090,1856,1795,accepted
1091,1856,1795,accepted
1092,1856,1795,accepted
1093,1856,1795,accepted
1094,1856,1795,accepted
1095,1856,1795,accepted
1096,1856,1795,accepted
1097,1856,1795,accepted
1098,1856,1795,accepted
1099,1856,1795,accepted
1100,1856,1795,accepted
1101,1856,1795,accepted
1102,1856,1795,accepted
1103,1856,1795,accepted
1104,1856,1795,accepted
1105,1856,1795,accepted
1106,1856,1795,accepted
1107,1856,1795,accepted
1108,1856,1795,accepted
1109,1856,1795,accepted
1110,1856,1795,accepted
1111,1856,1795,accepted
1112,1856,1795,accepted
1113,1856,1795,accepted
1114,1856,1795,accepted
1115,1856,1795,accepted
1116,1856,1795,accepted
1117,1856,1795,accepted
1118,1856,1795,accepted
1119,1856,1795,accepted
1120,1856,1795,accepted
1121,1856,1795,accepted
1122,1856,1795,accepted
1123,1856,1795,accepted
1124,1856,1795,accepted
1125,1856,1795,accepted
1126,1856,1795,accepted
1127,1856,1795,accepted
1128,1856,1795,accepted
1129,1856,1795,accepted
1130,1856,1795,accepted
1131,1856,1795,accepted
1132,1856,1795,accepted
1133,1856,1795,accepted
1134,1856,1795,accepted
1135,1856,1795,accepted
1136,1856,1795,accepted
1137,1856,1795,accepted
1138,1856,1795,accepted
1139,1856,1795,accepted
1140,1856,1795,accepted
1141,1856,1795,accepted
1142,1856,1795,accepted
1143,1856,1795,accepted
1144,1856,1795,accepted
1145,1856,1795,accepted
1146,1856,1795,accepted
1147,1856,1795,accepted
1148,1856,1795,accepted
1149,1856,1795,accepted
1150,1856,1795,accepted
1151,1856,1795,accepted
1152,1856,1795,accepted
1153,1856,1795,accepted
1154,1856,1795,accepted
1155,1856,1795,accepted
1156,1856,1795,accepted
1157,1856,1795,accepted
1158,1856,1795,accepted
1159,1856,1795,accepted
1160,1856,1795,accepted
1161,1856,1795,accepted
1162,1856,1795,accepted
1163,1856,1795,accepted
1164,1856,1795,accepted
